bitcoin,325346.0,11/06/2026 14:54
ethereum,8635.8,11/06/2026 14:54
solana,343.44,11/06/2026 14:54
bitcoin,325822.0,11/06/2026 15:00
ethereum,8645.65,11/06/2026 15:00
solana,343.33,11/06/2026 15:00
bitcoin,326481.0,11/06/2026 15:03
ethereum,8653.5,11/06/2026 15:03
solana,343.71,11/06/2026 15:03
bitcoin,325372.0,11/06/2026 15:08
ethereum,8616.72,11/06/2026 15:08
solana,343.48,11/06/2026 15:08
bitcoin,325372.0,11/06/2026 15:08
ethereum,8616.72,11/06/2026 15:08
solana,343.48,11/06/2026 15:08
bitcoin,325372.0,11/06/2026 15:09
ethereum,8616.72,11/06/2026 15:09
solana,343.48,11/06/2026 15:09
bitcoin,325372.0,11/06/2026 15:09
ethereum,8616.72,11/06/2026 15:09
solana,343.48,11/06/2026 15:09
bitcoin,325618.0,11/06/2026 15:15
ethereum,8634.69,11/06/2026 15:15
solana,344.15,11/06/2026 15:15
bitcoin,325618.0,11/06/2026 15:16
ethereum,8634.69,11/06/2026 15:16
solana,344.15,11/06/2026 15:16
bitcoin,325942.0,11/06/2026 15:19
ethereum,8650.56,11/06/2026 15:19
solana,344.38,11/06/2026 15:19
bitcoin,325203.0,11/06/2026 15:24
ethereum,8625.27,11/06/2026 15:24
solana,343.67,11/06/2026 15:24
bitcoin,325203.0,11/06/2026 15:24
ethereum,8625.27,11/06/2026 15:24
solana,343.67,11/06/2026 15:24
